STREET_ID,DATE_ID,date,year,quarter,month,ZONE_ID,zone,CRIME_ID,crime,type,NPU_ID,npu,number
54,2758,2016-07-20,2016,3,July,23,6,1,LARCENY-NON VEHICLE,house_number,44,N,162022298
54,2951,2017-01-29,2017,1,January,23,6,15,LARCENY-NON VEHICLE,amenity,44,N,170291338
55,670,2010-11-01,2010,4,November,21,6,3,BURGLARY-RESIDENCE,house_number,22,W,103050711
55,1117,2012-01-22,2012,1,January,21,6,1,LARCENY-NON VEHICLE,house_number,22,W,120221272
56,77,2009-03-18,2009,1,March,35,3,15,LARCENY-NON VEHICLE,amenity,37,Z,90770845
56,111,2009-04-21,2009,2,April,35,3,17,AUTO THEFT,road,37,Z,91112055
56,345,2009-12-11,2009,4,December,29,3,4,LARCENY-FROM VEHICLE,house_number,114,Z,93451247
56,820,2011-03-31,2011,1,March,35,3,1,LARCENY-NON VEHICLE,house_number,37,Z,110901550
56,1270,2012-06-23,2012,2,June,44,3,17,AUTO THEFT,road,45,Z,121752306
56,1805,2013-12-10,2013,4,December,35,3,1,LARCENY-NON VEHICLE,house_number,102,Z,133441171
56,2292,2015-04-11,2015,2,April,35,3,12,LARCENY-FROM VEHICLE,road,37,Z,151011426
57,189,2009-07-08,2009,3,July,18,3,10,AGG ASSAULT,house_number,23,Y,91891518
57,511,2010-05-26,2010,2,May,18,3,1,LARCENY-NON VEHICLE,house_number,23,Y,101461333
58,274,2009-10-01,2009,4,October,17,6,18,LARCENY-NON VEHICLE,shop,17,O,92740901
58,1062,2011-11-28,2011,4,November,17,6,18,LARCENY-NON VEHICLE,shop,17,O,113320909
58,2105,2014-10-06,2014,4,October,17,6,18,LARCENY-NON VEHICLE,shop,17,O,142792356
58,2626,2016-03-10,2016,1,March,17,6,18,LARCENY-NON VEHICLE,shop,17,O,160701735
59,54,2009-02-23,2009,1,February,45,1,19,BURGLARY-RESIDENCE,road,46,G,90540978
60,2163,2014-12-03,2014,4,December,34,3,2,AUTO THEFT,house_number,43,Y,143372374
60,2763,2016-07-25,2016,3,July,34,3,11,ROBBERY-PEDESTRIAN,house_number,43,Y,162070729
60,2833,2016-10-03,2016,4,October,50,3,13,AGG ASSAULT,shop,71,V,162772641
61,413,2010-02-17,2010,1,February,46,3,2,AUTO THEFT,house_number,47,X,100480606
62,1549,2013-03-29,2013,1,March,13,4,2,AUTO THEFT,house_number,13,T,130880296
62,2151,2014-11-21,2014,4,November,13,4,3,BURGLARY-RESIDENCE,house_number,13,T,143250909
63,61,2009-03-02,2009,1,March,44,3,2,AUTO THEFT,house_number,48,Z,90611450
63,124,2009-05-04,2009,2,May,44,3,4,LARCENY-FROM VEHICLE,house_number,48,Z,91240150
63,350,2009-12-16,2009,4,December,44,3,11,ROBBERY-PEDESTRIAN,house_number,48,Z,93501974
63,910,2011-06-29,2011,2,June,44,3,20,AUTO THEFT,amenity,48,Z,111802794
63,1660,2013-07-18,2013,3,July,44,3,2,AUTO THEFT,house_number,48,Z,131990450
63,2648,2016-04-01,2016,2,April,44,3,3,BURGLARY-RESIDENCE,house_number,48,Z,160922062
64,363,2009-12-29,2009,4,December,28,3,3,BURGLARY-RESIDENCE,house_number,30,X,93630804
64,521,2010-06-05,2010,2,June,52,3,39,AGG ASSAULT,road,59,S,101560603
65,173,2009-06-22,2009,2,June,47,4,1,LARCENY-NON VEHICLE,house_number,49,P,91730933
65,1088,2011-12-24,2011,4,December,47,4,11,ROBBERY-PEDESTRIAN,house_number,89,P,113581818
66,77,2009-03-18,2009,1,March,44,3,11,ROBBERY-PEDESTRIAN,house_number,50,Z,90771934
67,1532,2013-03-12,2013,1,March,13,4,3,BURGLARY-RESIDENCE,house_number,13,T,130712800
68,437,2010-03-13,2010,1,March,17,6,2,AUTO THEFT,house_number,17,O,100720564
69,798,2011-03-09,2011,1,March,18,3,10,AGG ASSAULT,house_number,19,Y,110682187
69,2600,2016-02-13,2016,1,February,18,3,6,BURGLARY-NONRES,house_number,19,Y,160440696
70,70,2009-03-11,2009,1,March,41,2,46,BURGLARY-NONRES,shop,41,E,90701514
70,1183,2012-03-28,2012,1,March,24,1,4,LARCENY-FROM VEHICLE,house_number,26,L,120881176
70,1245,2012-05-29,2012,2,May,41,2,34,LARCENY-FROM VEHICLE,tourism,41,E,121500844
70,1383,2012-10-14,2012,4,October,41,2,22,LARCENY-FROM VEHICLE,shop,51,D,122881875
70,1806,2013-12-11,2013,4,December,24,1,3,BURGLARY-RESIDENCE,house_number,26,L,133450269
70,2035,2014-07-28,2014,3,July,41,2,16,AUTO THEFT,shop,51,D,142091831
70,2131,2014-11-01,2014,4,November,24,1,2,AUTO THEFT,house_number,26,L,143050939
